Id_article;Id_obs;Authors;Title;DOI;Year_of_publication;Experiment_period;Experiment_year;Country;Continent;Study_site;Latitude;Longitude;Geocoordinates;Climate_zone;Soil_type_WRB_USDA;Soil_texture;Soil_pH;Greenhouse;Organic_ferti;Mineral_ferti;Nitrogen_rate;Fert;Herbicide;Insecticide;Fungicide;Pesticide;Irrigation;Intercropping_design;Intercropping_pattern;AF;Additional_factor;Crop_1_Common_Name;Crop_1_Scientific_Name;Crop_1_Variety;Crop_2_Common_Name;Crop_2_Scientific_Name;Crop_2_Variety;Comb_dur;Comb_gf;Comb_Nf;Comb_met;C1_yield_sole;C1_yield_intercrop;C2_yield_sole;C2_yield_intercropped;Yield_total_intercropping_calc;Yield_unit;Yield_measure;Data_location;LER_crop1;LER_crop2;LER_tot;LER_crop_1_calc;LER_crop_2_calc;LER_tot_calc
3;21;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Strip;no;Narrow ridges 100/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1355;676.24;250.26;1605.26;kg/ha;Seed yield;Table 3 and 4;1.81;0.37;2.18;1.82;0.37;2.19
3;22;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Additive;Strip;no;Narrow ridges 100/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1573;676.24;529.75;2102.75;kg/ha;Seed yield;Table 3 and 4;2.1;0.78;2.88;2.11;0.78;2.89
3;23;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 50/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1285;676.24;392.11;1677.11;kg/ha;Seed yield;Table 3 and 4;1.72;0.57;2.29;1.72;0.58;2.3
3;24;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 50/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1552;676.24;675.55;2227.55;kg/ha;Seed yield;Table 3 and 4;2.08;0.99;3.07;2.08;1;3.08
3;25;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 100/50;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1672;676.24;357.73;2029.73;kg/ha;Seed yield;Table 3 and 4;2.24;0.52;2.76;2.24;0.53;2.77
3;26;Abdel-Wahab, Sherif Ibrahim and Abdel-Wahab, Eman Ibrahim;Cropping Systems of Fenugreek with Faba Bean to Reduce Broomrape Infestation;10.18805/LR-621;2021;2017-2019;2018-2019;Egypt;Middle East & North Africa;Giza Agricultural Research Station (Lat. 30°002 303 N, Long. 31°122 433 E, 26 m a.s.l), Agricultural Research Center, Giza, Egypt during;30.1175;33.1536111111111;Exact;BWh;NA;NA;NA;NA;no;yes;Unclear;yes;NA;NA;NA;NA;yes;Replacement;Strip;no;Wide ridges 100/100;Fava bean;Vicia faba L.;NA;Fenugreek;Trigonella foenum-graecum L.;NA;an-an;no-no;yes-yes;c3-c3;746;1790;676.24;640.21;2430.21;kg/ha;Seed yield;Table 3 and 4;2.39;0.94;3.33;2.4;0.95;3.35
4;27;Abou-Hussein SD, Salman SR, Abdel-Mawgoud AMR, Ghoname AA;Productivity, Quality and Profit of Sole or Intercropped Green Beau (Phaseolus vulgaris L.);10.3923/ja.2005.151.155;2005;2003-2004;2003;Egypt;Middle East & North Africa;Kafer Hakeem village, Giza, Egypt;30.00808;31.21093;Estimated;BWh;NA;Loamy sand (LS);7.17;no;yes;yes;476;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Bean;Phaseolus vulgaris L.;Paulista;Lettuce;Lactuca sativa L.;NA;an-an;no-no;yes-no;c3-c3;4.6;4.45;11.3;5.6;10.05;t/ha;Total yield;Table 2;0.967;0.496;1.463;0.97;0.5;1.46
4;28;Abou-Hussein SD, Salman SR, Abdel-Mawgoud AMR, Ghoname AA;Productivity, Quality and Profit of Sole or Intercropped Green Beau (Phaseolus vulgaris L.);10.3923/ja.2005.151.155;2005;2003-2004;2003;Egypt;Middle East & North Africa;Kafer Hakeem village, Giza, Egypt;30.00808;31.21093;Estimated;BWh;NA;Loamy sand (LS);7.17;no;yes;yes;476;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Bean;Phaseolus vulgaris L.;Paulista;Onion;Allium cepa L.;NA;an-an;no-no;yes-no;c3-c3;4.6;4.48;4.65;2.1;6.58;t/ha;Total yield;Table 2;0.974;0.452;1.426;0.97;0.45;1.43
4;29;Abou-Hussein SD, Salman SR, Abdel-Mawgoud AMR, Ghoname AA;Productivity, Quality and Profit of Sole or Intercropped Green Beau (Phaseolus vulgaris L.);10.3923/ja.2005.151.155;2005;2003-2004;2004;Egypt;Middle East & North Africa;Kafer Hakeem village, Giza, Egypt;30.00808;31.21093;Estimated;BWh;NA;Loamy sand (LS);7.17;no;yes;yes;476;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Bean;Phaseolus vulgaris L.;Paulista;Lettuce;Lactuca sativa L.;NA;an-an;no-no;yes-no;c3-c3;5.15;4.98;12.66;6.27;11.25;t/ha;Total yield;Table 2;0.967;0.495;1.462;0.97;0.5;1.46
4;30;Abou-Hussein SD, Salman SR, Abdel-Mawgoud AMR, Ghoname AA;Productivity, Quality and Profit of Sole or Intercropped Green Beau (Phaseolus vulgaris L.);10.3923/ja.2005.151.155;2005;2003-2004;2004;Egypt;Middle East & North Africa;Kafer Hakeem village, Giza, Egypt;30.00808;31.21093;Estimated;BWh;NA;Loamy sand (LS);7.17;no;yes;yes;476;yes;NA;NA;NA;NA;NA;Additive;Row;no;NA;Bean;Phaseolus vulgaris L.;Paulista;Onion;Allium cepa L.;NA;an-an;no-no;yes-no;c3-c3;5.15;5.02;5.21;2.35;7.37;t/ha;Total yield;Table 2;0.975;0.451;1.426;0.97;0.45;1.43
