fpid,type,search_equations_wos,nb_papers_wos,date_of_search_wos,search_equations_scopus,nb_papers_scopus,date_of_search_scopus,nb_papers_after_merging
Crop rotation,Other searches,NA,NA,NA,NA,NA,NA,NA
Enhanced efficiency fertilisers,Total,NA,NA,NA,NA,NA,NA,59
Enhanced efficiency fertilisers,Search 1,"Topic: (""nitr* inhibit* OR ""controlled-release fert*"" OR ""urease inhibit*"" OR ""enhanced-efficiency fert*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") ",35,06/10/2020,"TITLE-ABS-KEY: (""nitr* inhibit*""? OR ""controlled-release fert*""? OR ""urease inhibit*""? OR ""enhanced-efficiency fert*"") AND TOPIC: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")?",47,06/10/2020,55
Enhanced efficiency fertilisers,Search 2,"Topic: (""slow-release fert*"" OR ""slow release fert*"" OR ""controlled release fert*"" OR ""controlled-release fert*"" OR ""enhanced-efficiency fert*"" OR ""enhanced efficiency fert*"" OR ""improved-efficiency fert*"" OR ""improved efficiency fert*"" OR ""organic-mineral fert*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",NA,06/10/2020,"TITLE-ABS-KEY ((""slow-release fert*"" OR ""slow release fert*"" OR ""controlled release fert*"" OR ""controlled-release fert*"" OR ""enhanced-efficiency fert*"" OR ""enhanced efficiency fert*"" OR ""improved-efficiency fert*"" OR ""improved efficiency fert*"" OR ""organic-mineral fert*"") AND (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,06/10/2020,14
Enhanced efficiency fertilisers,Other searches,NA,NA,NA,NA,NA,NA,13
Fallowing,Total,NA,NA,NA,NA,NA,NA,236
Fallowing,This search,"Topic: ((""fallow*"" OR ""uncrop*"" OR ""non-crop*"" OR ""unplant*"" OR ""unplow*"" OR ""uncultiv*"" OR ""non-cultiv*"" OR ""non-pasture*"" OR ""ungraz*"") OR ((""non-productive"" OR ""abandon*"" OR ""bare*"" OR ""unmanage*"" OR ""extensiv*"" OR ""extensificat*"" OR ""desintensificat*"" OR ""rotation"" OR ""set-aside"" OR ""set* aside"") NEAR/3 (land* OR crop* OR soil* OR field*))) AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") AND Topic: (agricultur*)",210,01/02/2021,"TITLE-ABS-KEY: ((""fallow*"" OR ""uncrop*"" OR ""non-crop*"" OR ""unplant*"" OR ""unplow*"" OR ""uncultiv*"" OR ""non-cultiv*"" OR ""non-pasture*"" OR ""ungraz*"") OR ((""non-productive"" OR ""abandon*"" OR ""bare*"" OR ""unmanage*"" OR ""extensiv*"" OR ""extensificat*"" OR ""desintensificat*"" OR ""rotation"" OR ""set-aside"" OR ""set* aside"") W/3 (land* OR crop* OR soil* OR field*))) AND TITLE-ABS-KEY:((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") AND (agricultur*))",149,01/02/2021,236
Fallowing,Other searches,NA,NA,NA,NA,NA,NA,NA
Grassland conservation and restoration,Total,NA,NA,NA,NA,NA,NA,1022
Grassland conservation and restoration,This search,"Topic: (""grazing*"" OR ""grassland*"" OR ""pasture*"" OR ""rangeland"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",689,21/09/2021,"TITLE-ABS-KEY: (""grazing*"" OR ""grassland*"" OR ""pasture*"" OR ""rangeland"") AND TITLE-ABS-KEY (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR  ""evidence synthesis"" OR ""research synthesis"")",890,21/09/2021,1020
Grassland conservation and restoration,Other searches,NA,NA,NA,NA,NA,NA,2
Grassland management,Total,NA,NA,NA,NA,NA,NA,1022
Grassland management,This search,"Topic: ((""grazing*"" OR ""grassland*"" OR ""pasture*"" OR ""rangeland"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",689,21/09/2021,"(TITLE-ABS-KEY ( ""grazing*""  OR  ""grassland*""  OR  ""pasture*""  OR ""rangeland"")  AND  TITLE-ABS-KEY ( ( ""meta-analy*""  OR  ""systematic* review*""  OR  ""evidence map""  OR  ""global synthesis""  OR  ""evidence synthesis""  OR  ""research synthesis"")))",890,21/09/2021,1020
Grassland management,Other searches,NA,NA,NA,NA,NA,NA,2
Grazing management,Total,NA,NA,NA,NA,NA,NA,1022
Grazing management,This search,"Topic: ((""grazing*"" OR ""grassland*"" OR ""pasture*"" OR ""rangeland"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",689,21/09/2021,"(TITLE-ABS-KEY ( ""grazing*""  OR  ""grassland*""  OR  ""pasture*""  OR ""rangeland"")  AND  TITLE-ABS-KEY ( ( ""meta-analy*""  OR  ""systematic* review*""  OR  ""evidence map""  OR  ""global synthesis""  OR  ""evidence synthesis""  OR  ""research synthesis"")))",890,21/09/2021,1020
Grazing management,Other searches,NA,NA,NA,NA,NA,NA,2
Green manure,Total,NA,NA,NA,NA,NA,NA,32
Green manure,This search,"Topic: (""crop manur*"" OR ""green manur*"" OR (legum* near/3 fert*) OR (""nitrogen fix* crop*"" near/3 fert*) OR (""nitrogen fix* crop*"" near/3 amend*)) AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",28,01/11/2020,"TITLE-ABS-KEY(""crop manur*"" OR ""green manur*"" OR (legum* W/3 fert*) OR (""nitrogen fix* crop*"" W/3 fert*) OR (""nitrogen fix* crop*"" W/3 amend*)) AND (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",29,01/11/2020,32
Green manure,Other search,NA,NA,NA,NA,NA,NA,NA
Intercropping,Total,NA,NA,NA,NA,NA,NA,111
Intercropping,This search,"Topic: (( intercrop* OR ""inter crop*"" OR ""mult* variet*"" OR ""mult* crop*"" OR ""Companion crop*"" OR ""Companion plant*"" OR ""polycultur*"" OR ""crop diversity"" OR ""mix* crop*"" OR ""crop* mix*"" OR ""cult* mix*""OR ""variety mix*"" OR ""row crop*"" OR ""strip* crop*"" OR ""row crop*"" OR ""relay crop*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",78,18/05/2021,"TITLE-ABS-KEY( intercrop* OR ""inter crop*"" OR ""mult* variet*"" OR ""mult* crop*"" OR ""Companion crop*"" OR ""Companion plant*"" OR ""polycultur*"" OR ""crop diversity"" OR ""mix* crop*"" OR ""crop* mix*"" OR ""cult* mix*""OR ""variety mix*"" OR ""row crop*"" OR ""strip* crop*"" OR ""row crop*"" OR ""relay crop*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",96,18/05/2021,111
Intercropping,Other searches,NA,NA,NA,NA,NA,NA,NA
Landscape features,Total,NA,NA,NA,NA,NA,NA,455
Landscape features,Terraces and stone walls,"Topic: (""terrac*"" OR ""contour bund*"" OR ""level bench*"" OR ""level ditch*"" OR ""fish-scale pit*"" OR ""dry-stone wall*"" OR ""dry stone wall*"" OR ""stone wall*"" OR ""earth wall*"" OR ""dry wall*"" OR ""dry-wall*"" OR ""rubble wall*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") AND Topic: (agric* OR cultiv* OR crop* OR farm*)",13,20/05/2022,"TITLE-ABS-KEY: (""terrac*"" OR ""contour bund*"" OR ""level bench*"" OR ""level ditch*"" OR ""fish-scale pit*"" OR ""dry-stone wall*"" OR ""dry stone wall*"" OR ""stone wall*"" OR ""earth wall*"" OR ""dry wall*"" OR ""dry-wall*"" OR ""rubble wall*"") AND TITLE-ABS-KEY: (""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis"") AND TITLE-ABS-KEY: (agric* OR cultiv* OR crop* OR farm*)",15,20/05/2022,NA
