fpid,type,search_equations_wos,nb_papers_wos,date_of_search_wos,search_equations_scopus,nb_papers_scopus,date_of_search_scopus,nb_papers_after_merging
No tillage and reduced tillage,Search 3 (Conservation agriculture and no/reduced tillage variants),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
No tillage and reduced tillage,Search 4 (Conservation agriculture and no/reduced/minimum tillage),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"") OR (""minimum"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"") OR (""minimum"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
No tillage and reduced tillage,Search 5 (Conservation agriculture and no/reduced/minimum/zero tillage),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"") OR (""minimum"" NEAR ""till*"") OR (""zero"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"") OR (""minimum"" W/ ""till*"") OR (""zero"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
No tillage and reduced tillage,Search 6 (Conservation agriculture and no/reduced/minimum/zero/occasional tillage),"Topic: ((""conservation"" NEAR ""agriculture"") OR (""no"" NEAR ""till*"") OR (""reduce*"" NEAR ""till*"") OR (""minimum"" NEAR ""till*"") OR (""zero"" NEAR ""till*"") OR (""occasional"" NEAR ""till*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",NA,01/09/2021,"TITLE-ABS-KEY((""conservation"" W/ ""agriculture"") OR (""no"" W/ ""till*"") OR (""reduce*"" W/ ""till*"") OR (""minimum"" W/ ""till*"") OR (""zero"" W/ ""till*"") OR (""occasional"" W/ ""till*"")) AND TITLE-ABS-KEY((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",NA,01/09/2021,NA
No tillage and reduced tillage,Other searches,NA,NA,NA,NA,NA,01/09/2021,9
Organic farming systems,Total,NA,NA,NA,NA,NA,NA,171
Organic farming systems,Latest search,"Topic: (""organic farm*"" OR ""organic agriculture"" OR ""organic system*"" OR ""organic product*"") AND Topic: (meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",124,01/10/2021,"TITLE-ABS-KEY: (""organic farm*"" OR ""organic agriculture"" OR ""organic system*"" OR ""organic product*"") AND TITLE-ABS-KEY: (meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",135,01/10/2021,154
Organic farming systems,Integrative for livestock,"Topic: ((organic near/4 farm*) OR (organic near/4 agric*) OR (organic near/4 produc*) OR (organic near/3 livestock) OR (organic near/3 animal)) AND Topic: (""animal*"" OR ""livestock"" OR ""ruminant*"" OR ""small ruminant*"" OR ""cattle"" OR ""dairy cattle"" OR ""dairy"" OR ""beef cattle"" OR ""sheep"" OR ""ewe*"" OR ""lamb*"" OR ""swine"" OR ""pig*"" OR ""porcine*"" OR ""goat*"" OR ""rabbit*"" OR ""poultry"" OR ""chicken*"" OR ""broiler*"" OR ""turkey*"" OR ""hen*"" OR ""horse*"" OR ""mule*"" OR ""milk"" OR ""egg"" OR ""beef"" OR ""cheese"" OR ""meat"" OR (animal near/2 protein*) OR ""yogurt"" OR ""bacon"" OR ""pork"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",78,01/09/2021,"( TITLE-ABS-KEY ( ( organic  W/4  farm* )  OR  ( organic  W/4  agric* )  OR  ( organic  W/4  produc* )  OR  ( organic  W/3  livestock )  OR  ( organic  W/3  animal ) )  AND  TITLE-ABS-KEY ( ( ""animal*""  OR  ""livestock""  OR  ""ruminant*""  OR  ""small ruminant*""  OR  ""cattle""  OR  ""dairy cattle""  OR  ""dairy""  OR  ""beef cattle""  OR  ""sheep""  OR  ""ewe*""  OR  ""lamb*""  OR  ""swine""  OR  ""pig*""  OR  ""porcine*""  OR  ""goat*""  OR  ""rabbit*""  OR  ""poultry""  OR  ""chicken*""  OR  ""broiler*""  OR  ""turkey*""  OR  ""hen*""  OR  ""horse*""  OR  ""mule*""  OR  ""milk""  OR  ""egg""  OR  ""beef""  OR  ""cheese""  OR  ""meat""  OR  ( animal  W/2  protein* )  OR  ""yogurt""  OR  ""bacon""  OR  ""pork"" ) )  AND  TITLE-ABS-KEY ( ( ""meta-analy*""  OR  ""systematic* review*""  OR  ""evidence map""  OR  ""global synthesis""  OR  ""evidence synthesis""  OR  ""research synthesis"" ) ) )",87,01/09/2021,98
Organic farming systems,Previous search,"Topic: (""organic farm*"" OR ""organic agriculture"" OR ""organic system*"" OR ""organic product*"") AND Topic: (meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",85,01/07/2020,"TITLE-ABS-KEY: (""organic farm*"" OR ""organic agriculture"" OR ""organic system*"" OR ""organic product*"") AND TITLE-ABS-KEY: (meta-analy* OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",79,01/07/2020,119
Organic farming systems,Other sources,NA,NA,NA,NA,NA,NA,2
Organic fertilisation,Total,NA,NA,NA,NA,NA,NA,185
Organic fertilisation,This search,"Topic: ((organic near/4 fert*) OR (organic near/4 amend*) OR (manure near/4 application) OR (manure near/4 distribution) OR (vermicompost*)) AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",154,13/01/2021,"( TITLE-ABS-KEY ( ( organic  W/4  fert* )  OR  ( organic  W/4  amend* )  OR  ( manure  W/4  application )  OR  ( manure  W/4  distribution ) OR (vermicompost*) )  AND  TITLE-ABS-KEY ( ( ""meta-analy*""  OR  ""systematic* review*""  OR  ""evidence map""  OR  ""global synthesis""  OR  ""evidence synthesis""  OR  ""research synthesis"" ) ) )",125,13/01/2021,171
Organic fertilisation,Other searches,NA,NA,NA,NA,NA,NA,14
Peatland conservation and restoration,Total,NA,NA,NA,NA,NA,NA,471
Peatland conservation and restoration,This search,"Topic: (""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"" OR ""bog*"") AND Topic: (""rewett*"" OR ""land use change*"" OR ""land-use change*"" OR ""conserve*"" OR ""preserv*"" OR ""restor*"" OR ""conver*"" OR ""drain*"" OR ""undrain*"" OR ""protect*"" OR ""water retention"" OR ""colonization W/4 Thyfa"" OR ""colonization W/4 Sphagnum"" OR ""colonisation W/4 Thyfa"" OR ""colonisation W/4 Sphagnum"" OR ""set aside"" OR ""dry-rewet*"" OR ""irrigat*"" OR ""reveget*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*"") AND Topic: (""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"") AND Topic: (""plough*"" OR ""till*"" OR ""drain*"" OR ""water use"" OR ""machinery"" OR ""integrated pest management*"" OR ""IPM"" OR ""fertilis*"" OR ""fertiliz*"" OR ""paludicult*"" OR ""extensive W/4 management*"" OR ""burn*"" OR ""sustainable W/4 management*"" OR ""traditional W/4 management*"" OR ""prevention W/4 inva*"" OR ""eradication W/4 inva*"" OR ""control w/4 inva*"" OR ""graz*"" OR ""afforest*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*"")",345,18/05/2022,"(SUBJAREA(AGRI OR ENVI) AND TITLE-ABS-KEY(""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"" OR ""bog*"") AND TITLE-ABS-KEY(""rewett*"" OR ""land use change*"" OR ""land-use change*"" OR ""conserve*"" OR ""preserv*"" OR ""restor*"" OR ""conver*"" OR ""drain*"" OR ""undrain*"" OR ""protect*"" OR ""water retention"" OR ""colonization W/4 Thyfa"" OR ""colonization W/4 Sphagnum"" OR ""colonisation W/4 Thyfa"" OR ""colonisation W/4 Sphagnum"" OR ""set aside"" OR ""dry-rewet*"" OR ""irrigat*"" OR ""reveget*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*""))  AND  (SUBJAREA(AGRI OR ENVI) AND TITLE-ABS-KEY(""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"") AND TITLE-ABS-KEY(""plough*"" OR ""till*"" OR ""drain*"" OR ""water use"" OR ""machinery"" OR ""integrated pest management*"" OR ""IPM"" OR ""fertilis*"" OR ""fertiliz*"" OR ""paludicult*"" OR ""extensive W/4 management*"" OR ""burn*"" OR ""sustainable W/4 management*"" OR ""traditional W/4 management*"" OR ""prevention W/4 inva*"" OR ""eradication W/4 inva*"" OR ""control w/4 inva*"" OR ""graz*"" OR ""afforest*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*""))",289,18/05/2022,470
Peatland conservation and restoration,Other searches,NA,NA,NA,NA,NA,NA,1
Peatland management,Total,NA,NA,NA,NA,NA,NA,471
Peatland management,Search 1,"Topic: (""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"" OR ""bog*"") AND Topic: (""rewett*"" OR ""land use change*"" OR ""land-use change*"" OR ""conserve*"" OR ""preserv*"" OR ""restor*"" OR ""conver*"" OR ""drain*"" OR ""undrain*"" OR ""protect*"" OR ""water retention"" OR ""colonization W/4 Thyfa"" OR ""colonization W/4 Sphagnum"" OR ""colonisation W/4 Thyfa"" OR ""colonisation W/4 Sphagnum"" OR ""set aside"" OR ""dry-rewet*"" OR ""irrigat*"" OR ""reveget*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*"")",345,01/05/2022,"(SUBJAREA(AGRI OR ENVI) AND TITLE-ABS-KEY(""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"" OR ""bog*"") AND TITLE-ABS-KEY(""rewett*"" OR ""land use change*"" OR ""land-use change*"" OR ""conserve*"" OR ""preserv*"" OR ""restor*"" OR ""conver*"" OR ""drain*"" OR ""undrain*"" OR ""protect*"" OR ""water retention"" OR ""colonization W/4 Thyfa"" OR ""colonization W/4 Sphagnum"" OR ""colonisation W/4 Thyfa"" OR ""colonisation W/4 Sphagnum"" OR ""set aside"" OR ""dry-rewet*"" OR ""irrigat*"" OR ""reveget*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*""))",289,01/05/2022,470
Peatland management,Search 2,"Topic: (""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"") AND Topic: (""plough*"" OR ""till*"" OR ""drain*"" OR ""water use"" OR ""machinery"" OR ""integrated pest management*"" OR ""IPM"" OR ""fertilis*"" OR ""fertiliz*"" OR ""paludicult*"" OR ""extensive W/4 management*"" OR ""burn*"" OR ""sustainable W/4 management*"" OR ""traditional W/4 management*"" OR ""prevention W/4 inva*"" OR ""eradication W/4 inva*"" OR ""control w/4 inva*"" OR ""graz*"" OR ""afforest*"") AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*"")",NA,01/05/2022,"(SUBJAREA(AGRI OR ENVI) AND TITLE-ABS-KEY(""wetland*"" OR ""marsh*"" OR ""fen*"" OR ""peatland*"" OR ""carbon-rich soil*"" OR ""carbon rich soil*"" OR ""wet meadow*"" OR ""wet soil*"" OR ""peat layer*"" OR ""water table*"" OR ""water layer*"" OR ""peat swamp*"" OR ""peat*"" OR ""water-saturated soil*"" OR ""black water*"" OR ""floodplain*"" OR ""histosol*"" OR ""mire*"" OR ""organic soil*"" OR ""estuar*"" OR ""mudflat*"") AND TITLE-ABS-KEY(""plough*"" OR ""till*"" OR ""drain*"" OR ""water use"" OR ""machinery"" OR ""integrated pest management*"" OR ""IPM"" OR ""fertilis*"" OR ""fertiliz*"" OR ""paludicult*"" OR ""extensive W/4 management*"" OR ""burn*"" OR ""sustainable W/4 management*"" OR ""traditional W/4 management*"" OR ""prevention W/4 inva*"" OR ""eradication W/4 inva*"" OR ""control w/4 inva*"" OR ""graz*"" OR ""afforest*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map*"" OR ""global synthes*"" OR ""evidence synthes*"" OR ""research synthes*""))",NA,01/05/2022,NA
Peatland management,other searches,NA,NA,NA,NA,NA,NA,1
Pesticides reduction strategies,Total,NA,135,NA,NA,232,NA,228
Pesticides reduction strategies,Pesticide reduction/decrease,"Topic: (((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") near/3 treat* near/3 reduc*) OR ((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") near/3 treat* near/3 decreas*) OR (reduc* near/3 (""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") near/3 manag*) OR (decreas* near/3 (""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") near/3 manag*) OR (low* near/3 input) OR ((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") near/3 use near/3 reduc*) OR ((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") near/3 use near/3 decreas*)) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",63,02/03/2021,"TITLE-ABS-KEY:  (((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") W/3 treat* W/3 reduc*) OR ((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") W/3 treat* W/3 decreas*) OR (reduc* W/3 (""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") W/3 manag*) OR (decreas* W/3 (""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") W/3 manag*) OR (low* W/3 input) OR ((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") W/3 use W/3 reduc*) OR ((""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"") W/3 use W/3 decreas*)) AND TITLE-ABS-KEY: ((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",136,01/03/2021,NA
Pesticides reduction strategies,No pesticide,"Topic : ((zero OR abs* OR no) near/3 (""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",25,02/03/2021,"TITLE-ABS-KEY: ((zero OR abs* OR no) W/3 (""fungicid*"" OR ""insecticid*"" OR ""herbicid*"" OR ""pesticid*"")) AND TITLE-ABS-KEY: ((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",33,01/03/2021,NA
Pesticides reduction strategies,Integrated pest management,"Topic: (((integrated near/3 (pest* OR diseas*) near/3 manag*) OR (precision near/5 (pest* OR diseas*) near/3 manag*) OR ""service crop*"")) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",47,02/03/2021,"TITLE-ABS-KEY: (((integrated W/3 (pest* OR diseas*) W/3 manag*)  OR (precision W/5 (pest* OR diseas*) W/3 manag*)  OR ""service crop*"")) AND TITLE-ABS-KEY: ((""meta-analy*""  OR ""systematic* review*""  OR ""evidence map""  OR ""global synthesis""  OR ""evidence synthesis""  OR ""research synthesis""))",63,01/03/2021,NA
Soil amendment with biochar,Total,NA,NA,NA,NA,NA,NA,132
Soil amendment with biochar,This search,"Topic: (biochar OR charcoal OR ""black carbon"") AND Topic: (soil OR agriculture OR farming) AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",106,01/02/2021,"TITLE-ABS-KEY: (biochar OR charcoal OR ""black carbon"") AND TITLE-ABS-KEY: (soil OR agriculture OR farming) AND TITLE-ABS-KEY: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",121,01/02/2021,132
Soil amendment with biochar,Other searches,NA,NA,NA,NA,NA,NA,NA
Soil amendment with lime and gypsum,Total,NA,NA,NA,NA,NA,NA,35
Soil amendment with lime and gypsum,This search,"Topic: (""liming"" OR ""limest*"" OR ""chalk*"" OR ""marl*"" OR ""gypsum"") AND Topic: (soil) AND Topic: (""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"")",24,01/02/2021,"TITLE-ABS-KEY ( ( ""liming""  OR  ""limest*""  OR  ""chalk*""  OR  ""marl*""  OR  ""gypsum"" ) )  AND  TITLE-ABS-KEY ( soil )  AND  TITLE-ABS-KEY ( ( ""meta-analy*""  OR  ""systematic* review*""  OR  ""evidence map""  OR  ""global synthesis""  OR  ""evidence synthesis""  OR  ""research synthesis"" ) )",32,01/02/2021,35
Soil amendment with lime and gypsum,Other searches,NA,NA,NA,NA,NA,NA,NA
Water-saving irrigation practices in flooded lands,Total,NA,NA,NA,NA,NA,NA,658
Water-saving irrigation practices in flooded lands,This search,"Topic: ((((""sustainab*"" OR ""improv*"" OR ""reduc*"" OR ""limit*"" OR ""deficit*"" OR ""efficien*"") NEAR ""irrigat*"") OR ((""sustainab*"" OR ""improv*"") NEAR ((""water"" NEAR (""use"" OR ""reuse"")) OR ""water use efficiency"" OR ""WUE"" OR ""water productivity"" OR ""water harvest*"" OR ""water balance"" OR ""water quality"" OR ""water uptake"" OR ""water holding capacity"")) OR ((""sustainab*"" OR ""improv*"") NEAR (""water"" NEAR (""management"" OR ""storage"" OR ""retention"" OR ""conservation"" OR ""infiltration""))) OR ((""sustainab*"" OR ""improv*"") NEAR (""water"" NEAR (""blueprint"" OR ""footprint"")))) AND Topic: ((""plant*"" OR ""crop*"" OR ""agricult*"" OR ""cult*"" OR ""farm*""))) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",258,24/01/2023,"TITLE-ABS-KEY((""sustainab*"" OR ""improv*"" OR ""reduc*"" OR ""limit*"" OR ""deficit*"" OR ""efficien*"") W/3 ""irrigat*"" ) OR ((""sustainab*"" OR ""improv*"") W/3 ((""water"" W/3 (""use"" OR ""reuse"")) OR ""water use efficiency"" OR ""WUE"" OR ""water productivity"" OR ""water harvest*"" OR ""water balance"" OR ""water quality"" OR ""water uptake"" OR ""water holding capacity"")) OR ((""sustainab*"" OR ""improv*"") W/3 (""water"" W/3 (""management"" OR ""storage"" OR ""retention"" OR ""conservation"" OR ""infiltration"")) OR ((""sustainab*"" OR ""improv*"") W/3 ( ""water"" W/3 (""blueprint"" OR ""footprint"")))) AND TITLE-ABS-KEY(""plant*"" OR ""crop*"" OR ""agricult*"" OR ""cult*"" OR ""farm*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) ) AND ( LIMIT-TO ( SUBJAREA,""ENVI"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) ) AND ( LIMIT-TO ( LANGUAGE,""English"" ) )",553,24/01/2023,636
Water-saving irrigation practices in flooded lands,Other searches,NA,NA,NA,NA,NA,NA,22
Water-saving irrigation practices in non-flooded lands,Total,NA,NA,NA,NA,NA,NA,658
Water-saving irrigation practices in non-flooded lands,This search,"Topic: ((((""sustainab*"" OR ""improv*"" OR ""reduc*"" OR ""limit*"" OR ""deficit*"" OR ""efficien*"") NEAR ""irrigat*"") OR ((""sustainab*"" OR ""improv*"") NEAR ((""water"" NEAR (""use"" OR ""reuse"")) OR ""water use efficiency"" OR ""WUE"" OR ""water productivity"" OR ""water harvest*"" OR ""water balance"" OR ""water quality"" OR ""water uptake"" OR ""water holding capacity"")) OR ((""sustainab*"" OR ""improv*"") NEAR (""water"" NEAR (""management"" OR ""storage"" OR ""retention"" OR ""conservation"" OR ""infiltration""))) OR ((""sustainab*"" OR ""improv*"") NEAR (""water"" NEAR (""blueprint"" OR ""footprint"")))) AND Topic: ((""plant*"" OR ""crop*"" OR ""agricult*"" OR ""cult*"" OR ""farm*""))) AND Topic: ((""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis""))",258,24/01/2023,"TITLE-ABS-KEY((""sustainab*"" OR ""improv*"" OR ""reduc*"" OR ""limit*"" OR ""deficit*"" OR ""efficien*"") W/3 ""irrigat*"" ) OR ((""sustainab*"" OR ""improv*"") W/3 ((""water"" W/3 (""use"" OR ""reuse"")) OR ""water use efficiency"" OR ""WUE"" OR ""water productivity"" OR ""water harvest*"" OR ""water balance"" OR ""water quality"" OR ""water uptake"" OR ""water holding capacity"")) OR ((""sustainab*"" OR ""improv*"") W/3 (""water"" W/3 (""management"" OR ""storage"" OR ""retention"" OR ""conservation"" OR ""infiltration"")) OR ((""sustainab*"" OR ""improv*"") W/3 ( ""water"" W/3 (""blueprint"" OR ""footprint"")))) AND TITLE-ABS-KEY(""plant*"" OR ""crop*"" OR ""agricult*"" OR ""cult*"" OR ""farm*"") AND TITLE-ABS-KEY(""meta-analy*"" OR ""systematic* review*"" OR ""evidence map"" OR ""global synthesis"" OR ""evidence synthesis"" OR ""research synthesis"") AND ( LIMIT-TO ( SRCTYPE,""j"" ) ) AND ( LIMIT-TO ( SUBJAREA,""ENVI"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) ) AND ( LIMIT-TO ( LANGUAGE,""English"" ) )",553,24/01/2023,636
Water-saving irrigation practices in non-flooded lands,Other searches,NA,NA,NA,NA,NA,NA,22
Wetland conservation and restoration,Total,NA,NA,NA,NA,NA,NA,471
