"ICC11 code","ICC11 label","WCACROPS code","If partial"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","19","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","131","*"
"6.02.02.90","Other permanent spice and aromatic crops, n.e.c.","308","*"
"7.01","Beans","21","*"
"7.01","Beans","22","*"
"7.02","Broad beans","140","*"
"7.02","Broad beans","35","*"
"7.02","Broad beans","36","*"
"7.03","Chickpeas","118","*"
"7.03","Chickpeas","62","*"
"7.04","Cowpeas","86","*"
"7.04","Cowpeas","85","*"
"7.05","Lentils","160","*"
"7.06","Lupins","169","*"
"7.07","Peas","220","*"
"7.07","Peas","221","*"
"7.08","Pigeon peas","229","*"
"7.09","Bambara beans","16","*"
"7.1","Vetches","320","*"
"7.9","Leguminous crops, n.e.c.","103","*"
"7.9","Leguminous crops, n.e.c.","98","*"
"8.01","Sugar beet","286","*"
"8.01","Sugar beet","285","*"
"8.01","Sugar beet","27","*"
"8.01","Sugar beet","26","*"
"8.01","Sugar beet","178","*"
"8.01","Sugar beet","25","*"
"8.01","Sugar beet","24","*"
"8.01","Sugar beet","23","*"
"8.01","Sugar beet","287","*"
"8.01","Sugar beet","252","*"
"8.02","Sugar cane","290","*"
"8.02","Sugar cane","289","*"
"8.02","Sugar cane","288","*"
"8.03","Sweet sorghum","277","*"
"8.03","Sweet sorghum","300","*"
"9.01.01","Temporary grass and fodder crops","71","*"
"9.01.01","Temporary grass and fodder crops","309","*"
"9.01.01","Temporary grass and fodder crops","3","*"
"9.01.01","Temporary grass and fodder crops","253","*"
"9.01.01","Temporary grass and fodder crops","264","*"
"9.01.01","Temporary grass and fodder crops","161","*"
"9.01.01","Temporary grass and fodder crops","138","*"
"9.01.01","Temporary grass and fodder crops","126","*"
"9.01.01","Temporary grass and fodder crops","125","*"
"9.01.01","Temporary grass and fodder crops","2","*"
"9.02.01.01","Cotton","83","*"
"9.02.01.01","Cotton","84","*"
"9.02.01.02","Jute, kenaf, and other similar crops","148","*"
"9.02.01.02","Jute, kenaf, and other similar crops","152","*"
"9.02.01.02","Jute, kenaf, and other similar crops","318","*"
"9.02.01.03","Flax","199","*"
"9.02.01.03","Flax","110","*"
"9.02.01.03","Flax","107","*"
"9.02.01.03","Flax","108","*"
"9.02.01.04","Hemp","1","*"
"9.02.01.04","Hemp","133","*"
"9.02.01.04","Hemp","134","*"
"9.02.01.04","Hemp","135","*"
"9.02.01.04","Hemp","293","*"
"9.02.01.90","Other temporary fibre crops, n.e.c.","106","*"
"9.02.02","Permanent fibre crops","172","*"
"9.02.02","Permanent fibre crops","150","*"
"9.02.02","Permanent fibre crops","254","*"
"9.02.02.01","Ramie","249","*"
"9.02.02.02","Sisal","271","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","137","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","159","*"
"9.02.02.90","Other permanent fibre crops, n.e.c.","68","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","210","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","166","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","156","*"
"9.03.01","Temporary medicinal, pesticidal or similar crops","113","*"
"9.03.01.01","Mint","193","*"
"9.03.01.02","Basil","20","*"
"9.03.01.90","Other temporary medicinal, pesticidal or similar crops","237","*"
"9.03.02","Permanent medicinal, pesticidal or similar crops","246","*"
"9.03.02.01","Ginseng","115","*"
"9.03.02.02","Coca","72","*"
"9.03.02.03","Kava","151","*"
"9.03.02.04","Guarana","128","*"
"9.04","Rubber","258","*"
"9.05.01","Temporary flower crops","213","*"
"9.05.02","Permanent flower crops","144","*"
"9.05.02","Permanent flower crops","257","*"
"9.06","Tobacco","310","*"
"9.90.01","Other crops, n.e.c. – temporary","243","*"
"9.90.01","Other crops, n.e.c. – temporary","261","*"
"9.90.01","Other crops, n.e.c. – temporary","124","*"
"9.90.01","Other crops, n.e.c. – temporary","143","*"
"9.90.01","Other crops, n.e.c. – temporary","312","*"
