pid,sid,eid,tid,author,year,title,journal,region,studymode,country,site,livestock_production_system,agroecological_zone,n,technology_type,control_trt,improved_forage,improved_legume,improved_grass,forage_ctrl_cp_hv1,forage_trt_cp_hv1,uom_cp,livestock_ctrl_milk1,livestock_trt_milk1,livestock_ctrl_milk2,livestock_trt_milk2,uom_milk,livestock_ctrl_lwg1,livestock_trt_lwg1,livestock_ctrl_lwg2,livestock_trt_lwg2,uom_lwg,livestock_ctrl_dmi,livestock_trt_dmi,uom_dmi,livestock_ctrl_manure,livestock_trt_manure,uom_manure,livestock_ctrl_n_manure,livestock_trt_n_manure,uom_n_manure,econ_ctrl_rev_s1,econ_trt_rev_s1,uom_rev,usd_exchange_rate
86,1,1,2,"Schlecht, E., Mahler, F., Sangare, M., Susenbeth, A., Becker, K.",1993,Quantitative and qualitative estimation of nutrient intake and faecal excretion of zebu cattle grazing natural pasture in semi-arid Mali,"In Powell, J M et al (1993). Livestock and sustainable nutrient cycling in mixed farming systems of Sub-Sahara Africa.",West Africa,Feeding trial,Mali,South Sahelian zone,Mixed Rainfed Arid,Tropic - warm / semiarid,15,Improved feeding regime,Natural grass (pasture),Dual-purpose legume,Vigna unguiculata,,,,,,,,,,,,,,,,,,,,,20,27,g/kgOM,,,,
105,1,1,2,"Mubiru, S., Ebong, C., Rubaire-Akiiki, C., Kabirizi J., Odur, A., Nakiganda, A., Ndyanabo, W., Bareeba, F., Halberg, N.",2003,Adaptation of feed resource utilization techniques to smallholder dairy farmers in Masaka,NARO conference paper,East Africa,Survey,Uganda,Masaka,Mixed Rainfed Humid,Tropic - cool / subhumid,4,Improved feeding regime,Napier,Dual-purpose legume,Lablab purpureus,,,,,7.735,9.153,,,,,,,,,,,,,,,,,,,,,
11,1,1,2,"Njarui D., Wandera, F., Mureithi, J.",2000,Potential of jack bean as a feed supplement for Kenya dual-purpose goats in the semi-arid area,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,Pennisetum purpureum & natural pasture,Herbaceous legume,Canavalia ensiformis,,,,,,,,,,-13.4,-17.88,,,g/day,,,,,,,,,,,,,
12,1,1,2,"Njarui D., Wandera, F., Muinga, R.",2000,Evaluation of selected forage legumes as supplementary feed for Kenya dual-purpose goat in semi-arid region of Eastern Kenya,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,Pennisetum purpureum & natural pasture,Herbaceous legume,Macroptilium atropurpureum,,,,,,,,,,-23.81,3.97,,,g/day,,,,,,,,,,,,,
12,1,1,3,"Njarui D., Wandera, F., Muinga, R.",2000,Evaluation of selected forage legumes as supplementary feed for Kenya dual-purpose goat in semi-arid region of Eastern Kenya,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,Pennisetum purpureum & natural pasture,Herbaceous legume,Neonotonia wightii,,,,,,,,,,-23.81,16.37,,,g/day,,,,,,,,,,,,,
12,1,2,2,"Njarui D., Wandera, F., Muinga, R.",2000,Evaluation of selected forage legumes as supplementary feed for Kenya dual-purpose goat in semi-arid region of Eastern Kenya,"KARI: Participatory technology development for soil management by smallholders in Kenya. Proceedings of the 2nd Scientific Conference on the Soil Management and Legume Research Network Projects. Mombasa, Kenya",East Africa,Feeding trial,Kenya,"Katumani, Machakos",Other,Tropic - warm / subhumid,4,Improved feeding regime,"Natural pasture (rhodes, star, buffel, Themeda triandra)",Herbaceous legume,Mucuna pruriens,,,,,,,,,,-7.44,19.34,,,g/day,,,,,,,,,,,,,
21,1,1,2,"Kabirizi, J., Mpairwe, D., Mutetikka, D.",2006,Improving dairy cattle productivity in smallholder farms in Uganda: Incorporating leguminous forages in farming systems,Uganda Journal of Agricultural Sciences,East Africa,Feeding trial,Uganda,Masaka,Urban,Tropic - cool / humid,8,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,"Stylosanthes scabra cv. Seca, Macroptilium atropurpureum, Desmodium intortum, Lablab purpureus",Pennisetum purpureum,,,,6.9,9.1,,,l/cow/day,19.4,31.1,,,g/day,7,11.1,kgDM/cow/day,,,,,,,1181700,1540150,Tot gross USH/cow/year,1920
21,1,1,3,"Kabirizi, J., Mpairwe, D., Mutetikka, D.",2006,Improving dairy cattle productivity in smallholder farms in Uganda: Incorporating leguminous forages in farming systems,Uganda Journal of Agricultural Sciences,East Africa,Feeding trial,Uganda,Masaka,Urban,Tropic - cool / humid,8,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,"Stylosanthes scabra cv. Seca, Macroptilium atropurpureum, Desmodium intortum, Lablab purpureus",Pennisetum purpureum,,,,6.9,9.7,,,l/cow/day,19.4,28.1,,,g/day,7,11.3,kgDM/cow/day,,,,,,,1181700,1619250,Tot gross USH/cow/year,1920
21,1,1,4,"Kabirizi, J., Mpairwe, D., Mutetikka, D.",2006,Improving dairy cattle productivity in smallholder farms in Uganda: Incorporating leguminous forages in farming systems,Uganda Journal of Agricultural Sciences,East Africa,Feeding trial,Uganda,Masaka,Urban,Tropic - cool / humid,8,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,"Stylosanthes scabra cv. Seca, Macroptilium atropurpureum, Desmodium intortum, Lablab purpureus",Pennisetum purpureum,,,,6.9,10.9,,,l/cow/day,19.4,37.1,,,g/day,7,12,kgDM/cow/day,,,,,,,1181700,2415550,Tot gross USH/cow/year,1920
25,1,1,2,"Kariuki, J., Tamminga, S., Gachuri, C., Gitau, G., Muia, J.",2001,Intake and rumen degradation in cattle fed Napier grass (Pennisetum purpureum) supplemented with various levels of Desmodium intortum and Ipomoea batatus vines,South African Journal of Animal Science,East Africa,Feeding trial,Kenya,Naivasha,Urban,Tropic - cool / subhumid,4,Improved feeding regime,Pennisetum purpureum,Herbaceous legume,Desmodium intortum,,,,,,,,,,,,,,,7.8,8.1,kgDM/day/cow,,,,,,,,,,
