variable name,variable description
food_ctrol_stover_yr1,stover yield in first year of the control      
food_trt_stover_yr1,stover yield in first year of the treatment      
food_ctrl_stover_yr2,stover yield in second year of the control      
food_trt_stover_yr2,stover yield in second year of the treatment      
food_ctrl_stover_yr3,stover yield in third year of the control      
food_trt_stover_yr3,stover yield in third year of the treatment      
uom_stover,unit of measurement for stover yield from second food crop
,
unit of measurement,description
uom_milk,
l/day,litres per day
l/season(6months)/cow,litres per season of 6 months per cow
uom_dm,
t/ha/season,tonnes per hectare per season
kg/ha,kilograms per hectare
t/ha,tonnes per hectare
uom_n_forage,
kg/ha,kilograms per hectare
soil_ctrl_uom_sl,
kg/8m2/season,kilograms per 8m2 per season
Mg/ha/yr,megagrams per hectare per year
uom_runoff,
l/8m2/season,litres per 8m2 per season
mm/yr,millimetres per year
uom_soc,
%,percentage
"g/kg(10-20,s2)",grams per kilogram of soil at a gradient range of 10-20 for season 2
uom_rev,
TotgrossUSD/ha/yr,total gross revenue in United States Dollars per hectare per year
TotgrossUSH/cow/year,total gross revenue in United States Dollars per cow per year
"TotgrossUSD/ha/season(main,minor)",total gross revenue in United States Dollars per hectare for main and minor seasons combined
TotUSD/ha/season,total gross revenue in United States Dollars per hectare per season
uom_benefit,
CumnetUSD/4seasons,cumulative net benefits in United States Dollars per 4 seasons
NetKSH/ha/yr,net benefits in Kenyan shillings per hectare per year
uom_stover,
kgDM/ha/dryseason,kilograms of dry matter per hectare per dry season
tDM/ha,tonnes of dry matter per hectare
uom_me,
MJ/kgDM,megajoule per kilogram of dry matter
uom_cr1,
Mg/ha/season,megagrams per hectare per season
kg/m/harvest,kilograms per month per harvest
kg/ha,kilograms per hectare
t/ha,tonnes per hectare
kg/ha/yr,kilograms per hectare per year
kg/ha/season,kilograms per hectare per season
t/ha/season,tonnes per hectare per season
t/ha/yr,tonnes per hectare per year
uom_cr2,
Mg/ha/season,megagrams per hectare per season
uom_cp,
%ofDM(harvest),percentage of dry matter per harvest
%DM,percentage of dry matter per harvest
%ofDM(yr),percentage of dry matter per year
%,percentage
%ofDM(season),percentage of dry matter per season
g/kgDM(yr),grams per kilogram of dry matter per year
