"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"4.03.09","4.03","Shea tree (shea butter or karite nuts)","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-09"
"4.03.10","4.03","Tung tree","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-10"
"4.03.11","4.03","Jojoba","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-11"
"4.03.12","4.03","Poppy","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-12"
"4.03.13","4.03","Tallow tree","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-13"
"4.03.90","4.03","Other temporary oilseed crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-03-90"
"4.04","4","Permanent oilseed crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-04"
"4.04.01","4.04","Coconuts","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-04-01"
"4.04.02","4.04","Olives","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-04-02"
"4.04.03","4.04","Oil palms","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-04-03"
"4.04.90","4.04","Other oleaginous fruits, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/4-04-90"
"5","","Root/tuber crops with high starch or inulin content","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5"
"5.01","5","Potatoes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-01"
"5.02","5","Sweet potatoes","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-02"
"5.03","5","Cassava","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-03"
"5.04","5","Yams","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-04"
"5.05","5","Taro","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-05"
"5.06","5","Yautia","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-06"
"5.9","5","Other roots and tubers, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/5-9"
"6","","Stimulant, spice and aromatic crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6"
"6.01","6","Stimulant crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01"
"6.01.01","6.01","Coffee","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01-01"
"6.01.02","6.01","Tea","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01-02"
"6.01.03","6.01","Maté","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01-03"
"6.01.04","6.01","Cocoa","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/6-01-04"
