 "code" , "broader" , "label_en" , "label_ar" , "label_zh" , "label_es" , "label_fr" , "label_ru" , "alternative_label" , "definition" , "note" , "concept" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.92" , "011.9" , "Stumps and roots" ,   ,   ,   ,   ,   ,   , "It includes wood from other parts than main stem and branches where these are harvested for fuel, e.g. tops, small branches and twigs, stumps and roots, bark separated in the forest from wood in the rough." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.92" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.921" , "011.92" , "Stumps and roots, coniferous" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.921" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9211" , "011.921" , "Stumps and roots, coniferous, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9211" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9219" , "011.921" , "Stumps and roots, coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9219" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.922" , "011.92" , "Stumps and roots, tropical non-coniferous" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.922" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9221" , "011.922" , "Stumps and roots, tropical non-coniferous, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9221" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9229" , "011.922" , "Stumps and roots, tropical non-coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9229" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.929" , "011.92" , "Other stumps and roots" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.929" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9291" , "011.929" , "Other stumps and roots, for pellets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9291" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.9299" , "011.929" , "Other stumps and roots, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.9299" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.93" , "011.9" , "Bark separated in the forest from wood in the rough" ,   ,   ,   ,   ,   ,   , "It includes wood from other parts than main stem and branches where these are harvested for fuel, e.g. tops, small branches and twigs, stumps and roots, bark separated in the forest from wood in the rough." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.93" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.931" , "011.93" , "Bark separated in the forest from wood in the rough, coniferous" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.931" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.932" , "011.93" , "Bark separated in the forest from wood in the rough, tropical non-coniferous" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.932" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "011.939" , "011.93" , "Other bark separated in the forest from wood in the rough" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/011.939" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012." , "01" , "WOOD IN THE ROUGH OTHER THAN WOOD FUEL" ,   ,   ,   ,   ,   ,   , "Wood in the rough that will be used in the production of other goods and services (except as a source of fuel)." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012." ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1" , "012." , "Wood in the rough from the main stem and branches" ,   ,   ,   ,   ,   ,   , "Wood in the rough from the main stem and branches that will be used in the production of other goods and services (except as a source of fuel). 
It includes sawlogs and veneer logs; pulpwood, round and split; and other industrial roundwood." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.11" , "012.1" , "Sawlogs and veneer logs" ,   ,   ,   ,   ,   ,   , "Roundwood that will be sawn (or chipped) lengthways for the manufacture of sawnwood or railway sleepers (ties) or used for the production of veneer (mainly by peeling or slicing). 
It includes: roundwood (whether or not it is roughly squared) that will be used for these purposes; shingle bolts and stave bolts; match billets and other special types of roundwood (e.g. burls and roots, etc.) used for veneer production." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.11" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.111" , "012.11" , "Sawlogs and veneer logs, coniferous" ,   ,   ,   ,   ,   ,   , "Roundwood that will be sawn (or chipped) lengthways for the manufacture of sawnwood or railway sleepers (ties) or used for the production of veneer (mainly by peeling or slicing). 
It includes: roundwood (whether or not it is roughly squared) that will be used for these purposes; shingle bolts and stave bolts; match billets and other special types of roundwood (e.g. burls and roots, etc.) used for veneer production." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.111" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1111" , "012.111" , "Sawlogs and veneer logs, coniferous, for sawnwood and railway sleepers" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1111" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1112" , "012.111" , "Sawlogs and veneer logs, coniferous, for veneer sheets" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1112" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1119" , "012.111" , "Sawlogs and veneer logs, coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1119" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.112" , "012.11" , "Sawlogs and veneer logs, tropical non-coniferous" ,   ,   ,   ,   ,   ,   , "Roundwood that will be sawn (or chipped) lengthways for the manufacture of sawnwood or railway sleepers (ties) or used for the production of veneer (mainly by peeling or slicing). 
It includes: roundwood (whether or not it is roughly squared) that will be used for these purposes; shingle bolts and stave bolts; match billets and other special types of roundwood (e.g. burls and roots, etc.) used for veneer production." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.112" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
