authors,doi,C_product,T_product,T_product_simple,C_product_simple,out_subindicator,T_out_sample_size,C_out_mean,C_out_sd,T_out_mean,T_out_sd,T_out_cv,C_out_cv,has_sd,T_out_cv_average,C_out_cv_average,T_out_cv_filled,C_out_cv_filled,lnRR_all_cases,var_all_cases,lnRR_missing_cases,var_missing_cases
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,171.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.6505675695399729,0.01237279505346345,0.6505675695399729,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,173.1,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.660437025558457,0.01237279505346345,0.660437025558457,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,135.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.413322726985157,0.01237279505346345,0.413322726985157,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,89.6,NA,112,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.22506643467138784,0.01237279505346345,0.22506643467138784,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,17.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.5009163887761625,0.01237279505346345,-0.5009163887761625,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,31.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.09379071897053003,0.01237279505346345,0.09379071897053003,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,29.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.015574972525505337,0.01237279505346345,0.015574972525505337,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,33.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.14571077614888972,0.01237279505346345,0.14571077614888972,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,34.2,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.16341035324829076,0.01237279505346345,0.16341035324829076,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,24.1,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.18660345032365938,0.01237279505346345,-0.18660345032365938,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,26.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.09924635163654988,0.01237279505346345,-0.09924635163654988,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,23.8,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.19912971014283976,0.01237279505346345,-0.19912971014283976,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,29.1,NA,19.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.3932857245837972,0.01237279505346345,-0.3932857245837972,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,331.1,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.1778019335976249,0.01237279505346345,0.1778019335976249,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,329.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.17265430678796412,0.01237279505346345,0.17265430678796412,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,316.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.1327047306286552,0.01237279505346345,0.1327047306286552,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,300.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.08116196636329849,0.01237279505346345,0.08116196636329849,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,324.5,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.15766702518856898,0.01237279505346345,0.15766702518856898,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,291.9,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.051792766904493276,0.01237279505346345,0.051792766904493276,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,388.6,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.33793202598776395,0.01237279505346345,0.33793202598776395,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,252.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,-0.09360338028851768,0.01237279505346345,-0.09360338028851768,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,277.7,NA,346.3,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.22268694045280055,0.01237279505346345,0.22268694045280055,0.01237279505346345
Mukhongo,10.3389/fpls.2017.00219,Sweet Potato,Sweet Potato,Sweet Potato,Sweet Potato,Biomass Yield,4,101.2,NA,101.4,NA,NA,NA,FALSE,0.1302713855963896,0.17987134502923977,0.1302713855963896,0.17987134502923977,0.0038972176608956816,0.01237279505346345,0.0038972176608956816,0.01237279505346345
